# security split manifest (sample)
cusip,part
02156BAF0,holdout
02156K103,development
02156U101,development
02156U200,development
02156V109,development
02157E106,development
02157G101,development
02157M108,holdout
02157M116,development
02157Q109,development
02209S103,development
02210T108,development
02215L209,holdout
02217A102,development
022307102,development
02262M308,development
02262M407,holdout
02262M506,development
02262M605,holdout
022671101,development
02290A102,development
023111206,development
023111404,development
023135106,development
023139884,holdout
023193105,development
02319V103,holdout
02322P200,development
02322P309,holdout
02341Q205,holdout
023436108,holdout
023576101,development
023586100,development
023586506,development
023608102,holdout
02361E108,development
023634207,holdout
02364V206,development
02368W408,development
02369M102,development
02369M110,development
02376R102,development
02376RAF9,development
02390A101,development
023939101,development
024013104,development
024061103,development
02451V309,development
02462A104,development
025072109,holdout
025072117,development
025072125,development
025072133,development
025072141,development
025072158,development
025072166,development
025072174,development
025072190,development
025072208,development
025072224,development
025072240,holdout
025072257,development
025072281,holdout
025072299,holdout
025072307,development
025072315,development
025072323,development
025072331,development
025072349,development
025072356,development
025072364,development
025072372,holdout
025072380,development
025072398,holdout
025072406,holdout
025072505,holdout
025072513,development
025072521,development
025072539,development
025072562,holdout
025072604,development
025072687,development
025072695,development
025072703,development
025072752,development
025072760,development
025072794,development
025072802,holdout
025072810,holdout
025072877,holdout
025072885,development
02507A101,development
02507A200,development
02507A507,development
02507A606,development
02507A705,development
02507A804,development
025537101,holdout
02553E106,development
025676206,development
025816109,development
025932104,development
02665T306,development
026874784,development
026948109,development
027259209,development
027745108,holdout
02875D109,holdout
02913V103,development
029174109,development
02919L117,development
02919L307,development
02919L604,development
02919L703,holdout
02927U208,development
029595105,development
029683109,holdout
029899101,development
030111207,development
03027X100,holdout
030371108,development
03040WBE4,development
030420103,development
03044L105,development
03044L204,development
030506109,holdout
03062D100,development
03062D803,development
03062T105,development
03064D108,development
03071H100,development
03073E105,development
03074A102,development
03076C106,development
03076K108,development
031001100,development
031094204,development
031100100,development
031162100,development
03152W109,development
031652100,development
03168L105,development
032037103,development
032095101,development
03209R103,development
03209RAB9,development
032108102,development
032108409,development
032108474,development
032108482,development
032108524,development
032108532,development
032108540,holdout
032108557,development
032108565,development
032108581,development
032108599,development
032108607,holdout
032108615,development
032108631,development
032108649,holdout
032108656,development
032108664,development
032108672,development
032108680,holdout
032108698,development
032108722,development
032108730,development
032108797,holdout
032108805,development
032108821,development
032108847,development
032108854,development
032108888,holdout
03210A107,development
03210A206,holdout
03211Q119,development
03211Q200,development
03212B103,development
03213A104,development
03214Q108,holdout
032159105,development
032332504,holdout
03237H101,holdout
032654105,development
032724106,development
032797300,holdout
033853102,holdout
034164103,development
034569103,development
03463K729,development
03463K737,holdout
03463K745,holdout
03463K752,holdout
03463K760,development
03464A100,holdout
03464C205,development
03464Y108,development
03465T108,holdout
03465T116,development
03475V101,development
034948109,development
03524A108,development
035255108,development
03528H109,development
035710839,development
03589W102,development
03615A108,development
03662Q105,development
03674X106,development
036752103,holdout
03675P102,development
03676B102,development
03676C100,development
037326105,development
03743Q108,holdout
03748R747,development
03750L109,development
03753U106,development
037598109,development
03761U502,development
03762U105,development
03763A207,development
03769M106,holdout
03769M304,development
03770N101,development
03771D102,holdout
03782L101,development
037833100,development
03783C100,development
03784Y200,holdout
03815J107,development
03815U300,development
03815U607,holdout
038169207,development
038169AB4,development
03820C105,development
038222105,development
03823U102,development
03823UAB8,development
03824M109,development
03828A101,development
03828V402,holdout
03831W108,development
03832J106,development
03832J114,development
038336103,holdout
03834B309,development
03835L207,development
03835L306,holdout
03835L504,holdout
03835L702,holdout
03835T309,development
03835T408,holdout
03835W104,development
03836J201,holdout
03837C106,development
03837J101,holdout
03837J200,development
03837J309,development
03842K200,development
03842K309,holdout
03842W113,holdout
03843E104,development
03852U106,development
03852U114,development
03879J100,development
03890D108,development
038923108,development
039014303,development
03937C105,development
03938L203,development
03940C100,development
03940R107,development
03945R102,development
039483102,development
03957W106,development
039587209,development
039653100,development
039697107,development
03969F109,development
03969K108,development
03969T109,development
03980N107,development
03990B101,development
03990B309,development
040044109,development
04010E109,development
04010L103,holdout
04010LAW3,development
040126104,development
04013V108,development
04016X101,development
04035M102,development
04040Y109,development
040413106,holdout
040413205,holdout
04041L106,development
040712101,holdout
04071F102,holdout
040919102,development
041242108,development
041242116,holdout
04124A100,development
041356205,holdout
042068205,holdout
04206A101,development
04208T108,holdout
04216R102,development
042255109,development
042315507,development
042315705,holdout
04247X102,development
04271T100,holdout
04271TAB6,holdout
04272H204,development
04272N102,development
042735100,development
04273H104,development
042744102,development
042765677,development
042765685,development
042765719,development
04280A100,holdout
04280AAC4,holdout
04301G508,holdout
04301G607,development
04302A104,development
04303A103,development
04303A111,development
043113208,development
043168103,development
04316A108,development
04317A107,development
04335A105,development
04339D105,development
04342Y104,development
043436104,development
04351P101,holdout
04351PAD3,development
043635705,development
043635804,development
04367G103,holdout
04390B105,holdout
044103794,holdout
044103869,holdout
044104107,development
044186104,development
04522R200,holdout
04523Y105,development
04537Y208,development
045396108,development
045396207,development
04541A105,development
04541A204,development
04546C205,development
04546C304,holdout
04546L106,holdout
045487105,holdout
045528106,holdout
04621X108,development
046224101,holdout
04625J303,holdout
04626A103,holdout
04634X103,development
04634X111,holdout
04634X202,development
046353108,development
04635X102,development
04638F108,development
046433108,development
046484309,holdout
04649U102,development
04650F101,holdout
046513107,development
046513206,development
04681Y103,development
04683R106,development
04744L205,development
04746L104,development
04746L203,holdout
047649108,development
047726104,development
047726302,holdout
048209100,development
048453112,development
048592109,development
04911A107,holdout
04914Y102,development
049164205,development
04916EAB0,development
04930R107,development
049468101,development
049560105,development
04956D107,holdout
04962H506,development
04962H704,development
04963C209,development
04965B100,development
04965G109,holdout
04965M106,development
04965N104,development
049904105,holdout
050473107,development
05072K107,development
05072K115,development
050734201,holdout
05105P107,development
05153U107,development
05156D102,development
05156V102,development
05156X850,development
05156X884,development
051774107,development
051774115,development
051857100,development
051857209,development
05223F106,development
052769106,development
05278C107,development
052800109,development
05280R100,development
053015103,development
05329W102,development
05330T106,development
05330T205,development
053332102,development
05337M104,development
05338F306,development
05343P109,development
05344R203,development
05344R302,development
053484101,holdout
05348Y105,holdout
05350V106,development
05351W103,development
05352A100,development
05353F108,development
05353F207,development
05356F105,development
053604104,development
05360L304,development
053611109,development
05366Y201,holdout
05367P100,holdout
05368J103,development
05368M106,development
05368V106,development
05368X102,holdout
05369T100,development
05370A108,development
053774105,development
05379B107,holdout
053807103,development
05380C102,development
053906103,development
05453N100,development
05453U203,development
054540208,development
05455M100,development
05463X106,holdout
05464C101,development
05464CAB7,development
05464T104,development
05465C100,development
05465P101,development
05466C109,development
054748207,development
054748306,holdout
054754858,development
05478C105,development
05479K106,holdout
05479L104,development
05479L203,development
05479L302,development
05501U106,development
05501U601,development
05508R106,development
05528C667,development
055298103,development
05534B760,development
055474209,development
055477103,holdout
05550J101,holdout
05552Q301,development
05561Q201,development
055622104,development
055630107,holdout
055645303,holdout
05577W200,development
0557MQ115,development
0557MQ206,development
05580M108,development
05581M404,development
055869101,development
05587G203,development
05588N108,holdout
05588W108,development
05589G102,holdout
05589T104,development
05591L107,development
05591L115,development
05601C105,development
05601U105,development
05603E208,development
05603J108,development
05605H100,development
05608P208,development
05613H100,development
05613H209,development
05613H308,development
05613H407,development
05613H506,development
05613H605,development
05613H704,development
05614L209,development
05637B105,holdout
056525108,development
056752108,development
05684B107,development
05686D200,development
05722G100,development
05759B107,development
05759B305,development
057665200,development
058498106,development
058586108,development
05875B106,holdout
05875B304,development
058934100,development
05945F103,development
059460303,holdout
059460402,development
05946K101,development
059520106,development
05961W105,development
05964H105,development
05965X109,development
05967A107,development
05968L102,development
059695106,development
05969A105,development
05988J103,development
05988JAD5,holdout
05990K106,development
060505104,development
060505682,development
06211J100,development
062540109,development
063425102,development
063671101,development
063679385,development
063679427,development
063679534,development
063679542,holdout
063679559,holdout
063679567,development
063679583,development
063679591,development
063679625,development
063679641,development
063679823,development
063679856,holdout
06367V105,development
06367V204,development
06367V402,development
06367V501,development
06367V600,development
06367V709,development
06368B504,development
06368L106,development
06368M203,development
06368M302,development
064058100,development
064149107,development
06417N103,holdout
06643P104,holdout
06652K103,development
06652N107,development
06652V208,development
06654A103,development
066644113,development
066644121,development
06682J118,development
06682J308,development
06682J407,development
066849100,development
06684L103,development
06738C778,development
06738E204,development
06748F324,holdout
06748M188,development
06748M196,holdout
067532200,development
06759L103,development
06759X107,development
06761A103,development
06777U101,development
06777U200,development
067806109,development
067901108,development
068221100,development
06829D206,holdout
06829D404,holdout
06829D503,development
06829D701,development
068463108,development
06849F108,development
070203104,development
070830104,development
07134L107,holdout
071705107,development
071734107,development
071813109,holdout
07272M107,development
07279B104,development
07317Q105,development
07323B118,development
073463101,development
073463119,development
073463309,development
073685109,development
07373B109,development
07373B117,holdout
07373V105,development
074014101,development
074014200,development
07556Q881,development
075887109,development
075896159,holdout
07725L102,development
077347201,development
077347300,development
077454106,development
07782B104,development
07831C103,development
078771300,development
079174116,development
079174124,development
080694102,development
08160H101,holdout
08178Q101,development
08178Q119,development
08178Q309,development
08178Q507,holdout
08205P209,development
082490103,development
082490202,development
08265T208,development
08265TAB5,development
08265TAD1,development
084310101,holdout
084423102,development
084670108,development
084670702,holdout
084680107,holdout
08579W103,development
08579X101,development
086516101,development
08653C601,development
08659B102,holdout
086921103,development
08771Y303,development
08771Y402,development
08773T104,holdout
08774B102,development
08774B508,holdout
088606108,holdout
08862E109,development
08862EAB5,development
08862L103,development
08862L202,holdout
088786108,development
088929104,development
08915P101,development
089302103,development
08975B109,development
08975P108,holdout
08986R309,development
08986R408,development
090040106,holdout
090040AF3,development
090043100,development
090043AB6,development
090043AD2,holdout
090043AF7,development
090168105,development
09032H105,development
090337106,development
090572108,development
090572207,development
09057N300,development
09057N409,holdout
09058V103,development
09060C408,development
09060C507,development
09060U119,development
09060U507,development
09060U606,development
09061G101,development
09061GAH4,development
09061GAK7,development
09061H307,development
09061H406,development
090628207,development
09062W204,development
09062X103,development
090655606,development
090683103,holdout
09071M205,development
09071M304,development
09073M104,development
09073N201,development
09073N300,development
09073Q204,holdout
09073Q303,development
09074F207,development
09074F405,development
09074F504,development
09074H203,development
09075A108,development
09075F305,holdout
09075F404,development
09075P105,development
09075P204,development
09075V102,holdout
09075X108,development
09075X207,holdout
09076J207,development
09076W109,development
09076W117,development
09076W307,development
09077A106,development
09077B104,development
09077B203,holdout
09077D118,development
09077D209,development
09077V100,development
09088U109,development
09090D103,development
09090D301,development
09090D509,development
090911702,development
09173B107,holdout
091748509,development
091748806,development
091749101,development
09174C104,development
09174F107,holdout
09174P105,development
09174P303,development
09175A206,development
09175C103,development
09175K113,development
09175M408,development
09175M507,development
09175M804,development
09175T106,development
09180C106,development
091941104,holdout
091947101,development
091948109,development
091955104,development
09203E105,development
092113109,holdout
09215C105,development
092244102,development
09225M101,development
09227Q100,holdout
09228F103,development
09229E303,development
09239B109,holdout
09239BAD1,development
09239BAF6,development
092479104,development
09247D105,development
09247F209,development
09247X101,development
09248E102,development
09248F109,development
09248L106,holdout
09248X100,development
09249E101,development
09249N101,holdout
092501105,development
092508100,development
09250B103,development
09250W107,development
09251A104,development
092524107,development
092528108,holdout
092528207,holdout
092528504,development
092528603,development
092528702,development
092528793,development
092528801,development
092528819,development
092528827,development
092528835,development
092528843,holdout
092528850,development
092528868,development
092528876,holdout
092528884,development
092533108,development
09253N104,development
09253R105,holdout
09253T101,holdout
09253W104,development
09254E103,development
09254F100,development
09254G108,development
09254J102,development
09254L107,holdout
09254V105,development
09254X101,development
09255C106,development
09255E102,development
09255K108,development
09255P107,development
09255R202,development
09255X100,development
09256U105,development
09257A108,development
09257D102,development
09257P105,holdout
09257R101,development
09257W100,development
09257WAE0,development
09258G104,development
09259E108,development
09260D107,development
09260E105,development
09260K101,development
09260Q108,development
09260U109,development
09261X102,holdout
09262F100,development
09262G108,holdout
09263B108,development
09263B116,development
09263B207,development
09264B107,development
092667104,development
092667112,development
09290C103,holdout
09290C202,holdout
09290C301,development
09290C400,development
09290C509,development
09290C590,development
09290C608,development
09290C616,development
09290C624,development
09290C640,development
09290C657,development
09290C665,holdout
09290C673,holdout
09290C681,holdout
09290C699,development
09290C707,development
09290C715,holdout
09290C723,holdout
09290C731,development
09290C749,development
09290C756,development
09290C764,development
09290C772,development
09290C780,development
09290C798,development
09290C806,holdout
09290C814,development
09290C822,development
09290C830,development
09290C848,holdout
09290C855,development
09290C863,development
09290C871,holdout
09290C889,development
09290D101,development
092915107,development
09352U108,holdout
09354A100,development
093671105,holdout
093712107,holdout
093712AH0,holdout
093712AK3,development
093712AM9,holdout
093919108,development
094235108,holdout
095229100,development
09523Q309,development
095306106,development
09549B104,holdout
095633301,development
095633400,development
095633509,holdout
09570Q509,development
09581B103,development
095825105,holdout
095924106,development
09606H200,holdout
09609G100,development
09609G209,development
09610B108,development
09624H208,development
09627Y109,development
096308101,development
09631H100,development
09631P102,holdout
09660L105,holdout
09661T107,development
09661T206,development
09661T305,development
09661T404,development
09661T503,development
09661T602,development
09661T800,holdout
09661T826,development
09661T834,development
09661T859,development
09662E109,holdout
09662W109,development
09681N106,holdout
097023105,development
097023204,development
09709UV70,development
097235105,development
09739D100,development
09769B115,development
09769B206,holdout
097702104,development
097702203,development
097890107,development
09789C663,holdout
09789C671,development
09789C697,development
09789C705,development
09789C721,holdout
09789C747,development
09789C754,development
09789C762,development
09789C770,holdout
09789C788,development
09789C796,development
09789C812,development
09789C820,holdout
09789C838,development
09789C846,development
09789C853,development
09789C861,development
09789C879,development
09789C887,development
098070154,development
098070402,development
098070600,development
09857L108,development
09857LAN8,development
099406100,development
09940T100,development
099502106,development
09950L302,holdout
09950L401,development
099724106,development
09973D105,development
100557107,development
101044105,development
101121101,development
101137107,holdout
101507101,holdout
10170A100,development
10240L102,development
10258P102,development
103002101,holdout
10316T104,development
10316TAB0,development
10316TAD6,development
103197208,development
103197307,development
103197406,development
103197505,holdout
103304101,development
103310108,holdout
104674106,development
104813209,development
10482B101,holdout
10482B200,development
104833306,development
104932108,development
104932116,development
104932207,development
10501E201,development
10501E300,development
10501L106,development
105230106,development
105368203,holdout
10552T107,holdout
105532105,development
10554B104,development
10576N102,development
105861306,holdout
10586A108,development
107924102,development
107930109,development
107930125,development
107930208,holdout
107930307,development
10806B100,development
10806X102,development
10806XAB8,development
10806XAD4,holdout
10806XAJ1,development
10807Q700,development
108621103,development
108763103,development
109194100,development
109199208,development
10919W405,development
10920V404,development
10921T101,development
10922N103,development
10948C107,development
10948W103,development
10949T109,development
109504100,development
10950A106,development
10950A205,development
109641100,development
109696104,development
110122108,holdout
110122140,development
11040G103,holdout
110448107,development
11120U105,development
11125B110,development
11133T103,development
11135E203,development
11135F101,development
111444105,holdout
111444709,development
11161T207,development
112463104,holdout
112463AF1,development
11259V106,holdout
11271J107,development
11275Q107,development
11276H106,development
112830104,holdout
11284V105,development
11285B108,development
113004105,holdout
113006100,holdout
11373M107,development
114082209,development
114082308,development
114082407,development
114340102,development
115236101,development
115637100,development
115637209,development
116794108,holdout
116794207,development
117043109,development
11750K120,development
11750K401,development
11776U300,development
11777Q209,development
118440106,development
11882T106,development
120076104,development
12008R107,development
12021E109,development
12047B105,development
12122L101,development
12135Y108,holdout
122017106,holdout
122017AB2,development
122017AD8,development
12233L107,development
12233L206,development
12326C105,development
124155102,development
124155110,development
12430A102,development
12430A300,development
124411109,holdout
124420118,development
12448X201,development
12466Q104,development
12468P104,development
124765108,holdout
12479G101,development
124805102,development
12482W309,development
12482W408,development
124830878,development
12503M108,holdout
12504G100,development
12504L109,development
12510Q100,development
125141101,development
12514G108,development
12520L109,development
12521H107,holdout
12521H115,development
125269100,development
12529R107,development
12530C107,holdout
12532H104,holdout
12541W209,development
125523100,development
125525527,holdout
125525584,development
12562N104,development
12564W102,development
12564W219,development
12564W227,development
12572Q105,development
125896100,holdout
125896BX7,holdout
125919308,development
126117100,development
126128107,development
12618T105,development
12619F104,holdout
12621E103,holdout
126327105,development
126349109,development
126349AH2,development
12634H200,development
12637A103,development
126389105,development
126402106,development
126408103,development
126501105,development
12653C108,holdout
12653CAG3,development
126600105,holdout
126601103,holdout
12662P108,development
126633205,development
126638105,holdout
126650100,development
12673Q103,development
12674W109,development
12685J105,development
12685JAE5,development
12685JAG0,development
127055101,development
127097103,development
127190304,holdout
127203107,development
127387108,development
12738K109,development
12740C103,holdout
127537207,development
127636108,development
127636207,development
12763L105,development
12769G100,development
128030202,development
128058302,holdout
128117108,development
128118106,development
12811L107,development
12811P108,development
12811T209,development
12811T571,development
12811V105,development
128125101,development
128126109,development
12812C106,development
128246105,development
128745106,development
128745205,development
129500104,development
13000T109,development
13000T604,development
13005U101,holdout
13057Q305,development
130788102,development
13100M509,holdout
131100109,holdout
131193104,development
131193AE4,development
13123X508,development
13124Q106,development
131428104,development
131476103,development
13200M607,development
132061201,development
132061300,development
132061409,development
132061508,development
132061607,development
132061706,development
132061763,development
132061771,development
132061789,development
132061797,holdout
132061805,development
132061813,holdout
132061821,development
132061839,development
132061862,development
132152109,development
133034108,development
133131102,development
13321L108,development
134429109,development
13462K109,holdout
13463J101,development
13471N300,development
13471N409,development
134748102,development
135086106,development
136069101,development
136375102,development
136385101,development
13646K108,development
136635109,development
13723M100,holdout
137404109,development
137586103,development
13765N107,development
13767K119,development
13781Y103,development
138035100,development
138035704,development
13803R102,development
13803R110,development
13803R201,development
13803R300,development
138103106,development
13811E101,development
139674105,development
139737100,development
14016P107,development
14016P206,development
14019W109,development
14020G101,development
14020R107,development
14020U100,development
14020V108,development
14020W106,holdout
14020X104,development
14020Y102,development
14020Y201,development
14020Y300,development
14020Y409,development
14020Y508,development
14020Y607,development
14020Y706,development
14020Y805,development
14020Y870,holdout
14020Y888,development
14021D107,development
14021L109,holdout
14021M107,holdout
14021N105,development
14021T102,development
14022A102,holdout
14022A201,development
14022A300,development
14040H105,development
140475203,holdout
140501107,development
14057J101,holdout
14064D444,development
14064D485,development
14064D519,development
14064D550,development
14064D568,development
14067D508,development
14068E208,development
14070B309,development
14070T102,holdout
140755109,development
140755208,development
140755307,development
140935107,development
14147L108,development
14149Y108,development
14154A102,holdout
14159C103,holdout
14159C111,holdout
14159C202,development
14161W105,development
14161W303,development
14161WAB1,holdout
14161Y200,development
14167L103,development
14167R100,development
14171W103,development
14171W202,development
14174T107,development
141788109,development
14179K101,development
142038108,development
142152107,development
14216R101,development
142339100,development
14280C105,development
142922103,development
142922111,holdout
142922129,development
143130102,holdout
14316J108,development
143658300,development
143658BT8,holdout
14365C103,holdout
143905107,holdout
14427M107,development
14427M206,development
144285103,development
14448C104,holdout
14574X104,development
14575E105,development
146103106,holdout
146229109,development
146280508,development
146869102,development
146875604,holdout
14713L102,development
147448104,development
147528103,development
14808P109,development
14817C107,development
14817C115,development
14838T204,holdout
14843C105,development
148806102,development
14888D208,development
14888L101,development
14888U101,development
148929102,development
149123101,holdout
149150104,development
149205106,development
149568107,development
14986C102,development
150185106,development
150837607,development
150837706,development
150870103,development
150964104,development
150964302,holdout
15101Q108,holdout
15101Q207,development
15102K100,holdout
15102KAB6,development
15117B202,development
15117F807,development
15117F880,development
15117K103,holdout
15117N602,development
15117N701,development
15118V207,development
151190105,holdout
151190113,development
151190204,holdout
15126Q208,development
151290889,development
